material_name,material_slug,storage_key,media_url,alt_text,media_type,mime_type,file_size,bucket_name
Gấm,gam,materials/gam/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/gam/swatch.webp,Gấm - swatch chất liệu,IMAGE,image/webp,11228,product-media
Lụa tổng hợp,lua-tong-hop,materials/lua-tong-hop/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/lua-tong-hop/swatch.webp,Lụa tổng hợp - swatch chất liệu,IMAGE,image/webp,32910,product-media
Lụa tổng hợp và Organza,lua-tong-hop-va-organza,materials/lua-tong-hop-va-organza/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/lua-tong-hop-va-organza/swatch.webp,Lụa tổng hợp và Organza - swatch chất liệu,IMAGE,image/webp,12276,product-media
Organza,organza,materials/organza/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/organza/swatch.webp,Organza - swatch chất liệu,IMAGE,image/webp,2920,product-media
Organza và Lụa tổng hợp,organza-va-lua-tong-hop,materials/organza-va-lua-tong-hop/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/organza-va-lua-tong-hop/swatch.webp,Organza và Lụa tổng hợp - swatch chất liệu,IMAGE,image/webp,2920,product-media
Organza và Tơ tằm 70%,organza-va-to-tam-70,materials/organza-va-to-tam-70/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/organza-va-to-tam-70/swatch.webp,Organza và Tơ tằm 70% - swatch chất liệu,IMAGE,image/webp,9798,product-media
Ren,ren,materials/ren/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/ren/swatch.webp,Ren - swatch chất liệu,IMAGE,image/webp,35040,product-media
Tencel,tencel,materials/tencel/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/tencel/swatch.webp,Tencel - swatch chất liệu,IMAGE,image/webp,35040,product-media
Tơ tằm 70%,to-tam-70,materials/to-tam-70/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/to-tam-70/swatch.webp,Tơ tằm 70% - swatch chất liệu,IMAGE,image/webp,4470,product-media
Tơ tổng hợp,to-tong-hop,materials/to-tong-hop/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/to-tong-hop/swatch.webp,Tơ tổng hợp - swatch chất liệu,IMAGE,image/webp,12276,product-media
Vải tổng hợp,vai-tong-hop,materials/vai-tong-hop/swatch.webp,https://bhbthcfizvsoillcnjxm.supabase.co/storage/v1/object/public/product-media/materials/vai-tong-hop/swatch.webp,Vải tổng hợp - swatch chất liệu,IMAGE,image/webp,32910,product-media
