parent_line_name,parent_product_url,component_order,component_name,component_price_text,component_price,component_type,is_required,crawl_at
Áo Mộng Chi,https://xeoxo.com/vn/san-pham/ao-mong-chi/,1,Ao,900000,900000,AO,True,2026-06-27 15:59:02
Quần Mộng Chi,https://xeoxo.com/vn/san-pham/quan-mong-chi/,1,Quan,850000,850000,QUAN,True,2026-06-27 15:59:03
Quần Nhật Thư,https://xeoxo.com/vn/san-pham/quan-nhat-thu/,1,Quan,825000,825000,QUAN,True,2026-06-27 15:59:05
Áo Nhật Thư,https://xeoxo.com/vn/san-pham/ao-nhat-thu/,1,Ao,825000,825000,AO,True,2026-06-27 15:59:06
Đầm Trúc Mây,https://xeoxo.com/vn/san-pham/dam-truc-may/,1,Dam,1650000,1650000,DAM,True,2026-06-27 15:59:08
Đầm Thanh Quy,https://xeoxo.com/vn/san-pham/dam-thanh-quy/,1,Dam,1950000,1950000,DAM,True,2026-06-27 15:59:09
Đầm Diệu Thanh,https://xeoxo.com/vn/san-pham/dam-dieu-thanh/,1,Dam,1550000,1550000,DAM,True,2026-06-27 15:59:11
Đầm Lan Kiều,https://xeoxo.com/vn/san-pham/dam-lan-kieu/,1,Dam,1650000,1650000,DAM,True,2026-06-27 15:59:12
Đầm Phấn Hy,https://xeoxo.com/vn/san-pham/dam-phan-hy/,1,Dam,1250000,1250000,DAM,True,2026-06-27 15:59:14
Áo Choàng Ngọc Mây,https://xeoxo.com/vn/san-pham/ao-choang-ngoc-may/,1,Ao choang,890000,890000,AO,True,2026-06-27 15:59:15
Áo Choàng Hồng Mây,https://xeoxo.com/vn/san-pham/ao-choang-hong-may/,1,Ao choang,890000,890000,AO,True,2026-06-27 15:59:16
Đầm Uyên Đan,https://xeoxo.com/vn/san-pham/dam-uyen-dan/,1,Dam,1650000,1650000,DAM,True,2026-06-27 15:59:18
Yếm Dạ Thư,https://xeoxo.com/vn/san-pham/yem-da-thu/,1,Yem,3700000,3700000,YEM,True,2026-06-27 15:59:19
Áo dài Ngọc Khê – Yên Hoàng,https://xeoxo.com/vn/san-pham/ao-dai-ngoc-khe-yen-hoang/,1,Ao dai,4600000,4600000,AO,True,2026-06-27 15:59:21
Áo dài Tú Khê – Yên Như,https://xeoxo.com/vn/san-pham/ao-dai-tu-khe-yen-nhu/,1,Ao dai,4600000,4600000,AO,True,2026-06-27 15:59:22
Áo dài Vân Khê – Yên Hải,https://xeoxo.com/vn/san-pham/ao-dai-van-khe-yen-hai/,1,Ao dai,4600000,4600000,AO,True,2026-06-27 15:59:23
Áo dài Thanh Khê – Yên Lam,https://xeoxo.com/vn/san-pham/ao-dai-thanh-khe-yen-lam/,1,Ao dai,4600000,4600000,AO,True,2026-06-27 15:59:25
Áo Lam Khanh,https://xeoxo.com/vn/san-pham/ao-lam-khanh/,1,Ao,1490000,1490000,AO,True,2026-06-27 15:59:26
Chân Váy Lam Khanh,https://xeoxo.com/vn/san-pham/chan-vay-lam-khanh/,1,Chan vay,2450000,2450000,VAY,True,2026-06-27 15:59:27
Áo Choàng Nhật Bình Yên Chi,https://xeoxo.com/vn/san-pham/ao-choang-nhat-binh-yen-chi/,1,Ao choang,14450000,14450000,AO,True,2026-06-27 15:59:28
Áo choàng Tràng Ngọc Khê,https://xeoxo.com/vn/san-pham/ao-choang-trang-ngoc-khe/,1,Ao choang,8250000,8250000,AO,True,2026-06-27 15:59:30
Áo dài Cẩm Dao – Dao Phụng,https://xeoxo.com/vn/san-pham/ao-dai-cam-dao-dao-phung/,1,Ao dai,9150000,9150000,AO,True,2026-06-27 15:59:31
Áo dài Dao Phụng – Liên Phụng,https://xeoxo.com/vn/san-pham/ao-dai-dao-phung-lien-phung/,1,Ao dai,6650000,6650000,AO,True,2026-06-27 15:59:32
Áo dài Hồng Ân – Hồng Duyên,https://xeoxo.com/vn/san-pham/ao-dai-hong-an-hong-duyen-sao-chep/,1,Ao dai,7850000,7850000,AO,True,2026-06-27 15:59:33
Áo dài Mộng Đan – Hồng Duyên,https://xeoxo.com/vn/san-pham/ao-dai-mong-dan-hong-duyen/,1,Ao dai,8750000,8750000,AO,True,2026-06-27 15:59:35
Áo dài Châu Phượng,https://xeoxo.com/vn/san-pham/ao-dai-chau-phuong/,1,Ao dai,6550000,6550000,AO,True,2026-06-27 15:59:36
Áo dài Ngọc Bảo – Mãn Duyên,https://xeoxo.com/vn/san-pham/ao-dai-ngoc-bao-man-duyen/,1,Ao dai,9550000,9550000,AO,True,2026-06-27 15:59:37
Áo dài Mộc Cẩn – Diêu Hà,https://xeoxo.com/vn/san-pham/ao-dai-moc-can-dieu-ha/,1,Ao dai,12750000,12750000,AO,True,2026-06-27 15:59:38
Áo dài Chu Phong,https://xeoxo.com/vn/san-pham/ao-dai-chu-phong/,1,Ao dai,2850000,2850000,AO,True,2026-06-27 15:59:39
Áo dài Thiên Hà,https://xeoxo.com/vn/san-pham/ao-dai-thien-ha/,1,Ao dai,2850000,2850000,AO,True,2026-06-27 15:59:40
Đầm Lưu Quỳnh,https://xeoxo.com/vn/san-pham/dam-luu-quynh/,1,Dam,1650000,1650000,DAM,True,2026-06-27 15:59:41
Đầm Lưu Châu,https://xeoxo.com/vn/san-pham/dam-luu-chau/,1,Dam,1650000,1650000,DAM,True,2026-06-27 15:59:43
Đầm Phù Ân,https://xeoxo.com/vn/san-pham/dam-phu-an/,1,Dam,2950000,2950000,DAM,True,2026-06-27 15:59:44
Đầm Ngọc Tiêu,https://xeoxo.com/vn/san-pham/dam-ngoc-tieu/,1,Dam,1450000,1450000,DAM,True,2026-06-27 15:59:45
Đầm Nhã Quy,https://xeoxo.com/vn/san-pham/dam-nha-quy/,1,Dam,1650000,1650000,DAM,True,2026-06-27 15:59:46
Quần Đan Châu,https://xeoxo.com/vn/san-pham/quan-dan-chau/,1,Quan,1350000,1350000,QUAN,True,2026-06-27 15:59:48
Quần Đan Vân,https://xeoxo.com/vn/san-pham/quan-dan-van/,1,Quan,1350000,1350000,QUAN,True,2026-06-27 15:59:49
Quần Đan Cẩn,https://xeoxo.com/vn/san-pham/quan-dan-can/,1,Quan,1350000,1350000,QUAN,True,2026-06-27 15:59:50
Áo Bách Đơn,https://xeoxo.com/vn/san-pham/ao-bach-don/,1,Ao,850000,850000,AO,True,2026-06-27 15:59:51
Áo Hồng Đơn,https://xeoxo.com/vn/san-pham/ao-hong-don/,1,Ao,850000,850000,AO,True,2026-06-27 15:59:53
Áo Khuê Đơn,https://xeoxo.com/vn/san-pham/ao-khue-don/,1,Ao,850000,850000,AO,True,2026-06-27 15:59:54
