collection_name,collection_url,collection_slug,product_name,product_url,slug,description,material_name,design_style,raw_color,usage_context,raw_price_text,thumbnail_url,gallery_urls,crawl_at,error
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Áo Mộng Chi,https://xeoxo.com/vn/san-pham/ao-mong-chi/,ao-mong-chi,,Lụa tổng hợp dệt kim tuyến,Cổ yếm,Đỏ mận,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",900.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00657-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00657-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00728-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00802-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00766-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00762-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00782-1.jpg""]",2026-06-27 15:59:02,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Quần Mộng Chi,https://xeoxo.com/vn/san-pham/quan-mong-chi/,quan-mong-chi,,Lụa tổng hợp dệt kim tuyến,Quần ống đứng chun bụng,Đỏ mận,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",850.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00728-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00728-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00772-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00802-1.jpg""]",2026-06-27 15:59:03,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Quần Nhật Thư,https://xeoxo.com/vn/san-pham/quan-nhat-thu/,quan-nhat-thu,,Tơ tổng hợp lót lụa habutai,Quần ngắn,Trắng kem,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",825.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01527-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01527-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01545-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01502-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01476-1.jpg""]",2026-06-27 15:59:05,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Áo Nhật Thư,https://xeoxo.com/vn/san-pham/ao-nhat-thu/,ao-nhat-thu,,Tơ tổng hợp lót lụa habutai,Áo cổ vạt lượn sóng dáng suông tay lửng,Trắng kem,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",825.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01483-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01483-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01527-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01502-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01545-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01479-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01476-1.jpg""]",2026-06-27 15:59:06,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Đầm Trúc Mây,https://xeoxo.com/vn/san-pham/dam-truc-may/,dam-truc-may,,Organza dệt chìm hoạ tiết lót lụa tổng hợp,Đầm dài dáng buộc eo có lớp trong,Trắng,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1.650.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00424-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00424-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00398-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00362-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00434-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00612-1-1.jpg""]",2026-06-27 15:59:08,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Đầm Thanh Quy,https://xeoxo.com/vn/san-pham/dam-thanh-quy/,dam-thanh-quy,,Lụa tổng hợp dệt hoạ tiết nổi in hoa lót lụa tổng hợp dệt kim tuyến (metalic),Đầm dài có cổ không tay dáng chiết eo,Xanh cốm,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1.950.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC09977-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC09977-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC09971-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00630-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC09991-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC09939-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC09987-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00060-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00818-1.jpg""]",2026-06-27 15:59:09,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Đầm Diệu Thanh,https://xeoxo.com/vn/san-pham/dam-dieu-thanh/,dam-dieu-thanh,,Tơ tổng hợp lót lụa habutai,Đầm 2 dây dáng chiết eo,Xanh biển nhạt,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1.550.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00862-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00862-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00937-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00869-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00839-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00873-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00919-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00943-1.jpg""]",2026-06-27 15:59:11,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Đầm Lan Kiều,https://xeoxo.com/vn/san-pham/dam-lan-kieu/,dam-lan-kieu,,Lụa tổng hợp dệt kim tuyến lót habutai,Đầm dài có tay đánh eo nhẹ,Hồng,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1.650.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01265-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01265-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01226-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01320-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01164-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01272-1.jpg""]",2026-06-27 15:59:12,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Đầm Phấn Hy,https://xeoxo.com/vn/san-pham/dam-phan-hy/,dam-phan-hy,,Tơ tổng hợp lót lụa habutai,Tơ tổng hợp lót lụa habutai,Hồng nhạt,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1.250.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01084-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01084-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01026-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01071-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01146-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01101-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01109-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01126-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01143-1.jpg""]",2026-06-27 15:59:14,
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Áo Choàng Ngọc Mây,https://xeoxo.com/vn/san-pham/ao-choang-ngoc-may/,ao-choang-ngoc-may,,Organza,Áo choàng dài tay loe,Xanh biển nhạt,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",890.000 VND,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01577-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01577-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01583-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01589-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01628-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01618-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01556-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04227.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04184.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04290.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04298.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04330.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04390.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04387.jpg""]",2026-06-27 15:59:15,
