grantee,table_schema,table_name,privilege_type
postgres,after_sales,refund,TRIGGER
postgres,after_sales,refund,INSERT
postgres,after_sales,refund,SELECT
postgres,after_sales,refund,UPDATE
postgres,after_sales,refund,DELETE
postgres,after_sales,refund,TRUNCATE
postgres,after_sales,refund,REFERENCES
postgres,after_sales,return_item,TRIGGER
postgres,after_sales,return_item,INSERT
postgres,after_sales,return_item,SELECT
postgres,after_sales,return_item,UPDATE
postgres,after_sales,return_item,DELETE
postgres,after_sales,return_item,TRUNCATE
postgres,after_sales,return_item,REFERENCES
postgres,after_sales,return_request,TRIGGER
postgres,after_sales,return_request,INSERT
postgres,after_sales,return_request,SELECT
postgres,after_sales,return_request,UPDATE
postgres,after_sales,return_request,DELETE
postgres,after_sales,return_request,TRUNCATE
postgres,after_sales,return_request,REFERENCES
postgres,after_sales,review,INSERT
postgres,after_sales,review,TRUNCATE
postgres,after_sales,review,DELETE
postgres,after_sales,review,UPDATE
postgres,after_sales,review,SELECT
postgres,after_sales,review,REFERENCES
postgres,after_sales,review,TRIGGER
postgres,after_sales,review_media,TRIGGER
postgres,after_sales,review_media,INSERT
postgres,after_sales,review_media,SELECT
postgres,after_sales,review_media,UPDATE
postgres,after_sales,review_media,DELETE
postgres,after_sales,review_media,TRUNCATE
postgres,after_sales,review_media,REFERENCES
postgres,auth,audit_log_entries,SELECT
postgres,auth,audit_log_entries,TRIGGER
postgres,auth,audit_log_entries,REFERENCES
postgres,auth,audit_log_entries,TRUNCATE
postgres,auth,audit_log_entries,DELETE
postgres,auth,audit_log_entries,UPDATE
postgres,auth,audit_log_entries,INSERT
postgres,auth,custom_oauth_providers,DELETE
postgres,auth,custom_oauth_providers,INSERT
postgres,auth,custom_oauth_providers,SELECT
postgres,auth,custom_oauth_providers,UPDATE
postgres,auth,custom_oauth_providers,TRUNCATE
postgres,auth,custom_oauth_providers,REFERENCES
postgres,auth,custom_oauth_providers,TRIGGER
postgres,auth,flow_state,TRIGGER
postgres,auth,flow_state,REFERENCES
postgres,auth,flow_state,TRUNCATE
postgres,auth,flow_state,DELETE
postgres,auth,flow_state,INSERT
postgres,auth,flow_state,SELECT
postgres,auth,flow_state,UPDATE
postgres,auth,identities,INSERT
postgres,auth,identities,TRUNCATE
postgres,auth,identities,DELETE
postgres,auth,identities,UPDATE
postgres,auth,identities,TRIGGER
postgres,auth,identities,SELECT
postgres,auth,identities,REFERENCES
postgres,auth,instances,SELECT
postgres,auth,instances,UPDATE
postgres,auth,instances,DELETE
postgres,auth,instances,TRUNCATE
postgres,auth,instances,REFERENCES
postgres,auth,instances,TRIGGER
postgres,auth,instances,INSERT
postgres,auth,mfa_amr_claims,UPDATE
postgres,auth,mfa_amr_claims,DELETE
postgres,auth,mfa_amr_claims,TRUNCATE
postgres,auth,mfa_amr_claims,REFERENCES
postgres,auth,mfa_amr_claims,TRIGGER
postgres,auth,mfa_amr_claims,INSERT
postgres,auth,mfa_amr_claims,SELECT
postgres,auth,mfa_challenges,INSERT
postgres,auth,mfa_challenges,REFERENCES
postgres,auth,mfa_challenges,TRUNCATE
postgres,auth,mfa_challenges,DELETE
postgres,auth,mfa_challenges,UPDATE
postgres,auth,mfa_challenges,SELECT
postgres,auth,mfa_challenges,TRIGGER
postgres,auth,mfa_factors,REFERENCES
postgres,auth,mfa_factors,DELETE
postgres,auth,mfa_factors,UPDATE
postgres,auth,mfa_factors,SELECT
postgres,auth,mfa_factors,INSERT
postgres,auth,mfa_factors,TRIGGER
postgres,auth,mfa_factors,TRUNCATE
postgres,auth,oauth_authorizations,INSERT
postgres,auth,oauth_authorizations,SELECT
postgres,auth,oauth_authorizations,UPDATE
postgres,auth,oauth_authorizations,DELETE
